trait,attribute,family
"preocular supralabials, nasal and prefrontal",fused,amphisbaenidae
ocular,"quadratic, diagonally placed",amphisbaenidae
frontal and parietal,fused,amphisbaenidae
occipitals,"one or two pairs, distinct",amphisbaenidae
first postocular supralabial,enormous,amphisbaenidae
temporal,large,amphisbaenidae
snout,generally pointed,amphisbaenidae
supralabials and infralabials,2,amphisbaenidae
mental and first infralabials,enormous,amphisbaenidae
postgenials,"2 rows, upto 4 each",amphisbaenidae
body annuli,217-262,amphisbaenidae
caudal annuli,21-24,amphisbaenidae
midbody segments,"12-16 dorsal, 8-10 ventral",amphisbaenidae
median ventral segments,"enlarged, paired",amphisbaenidae
autotomy site,at the 6th to 9th caudal annulus,amphisbaenidae
precloacal pores in males,"6 or 8, round",amphisbaenidae
color of preserved specimens,"uniform brown dorsally, lighter pigmentation on ventral surface, somewhat darker on caudal region",amphisbaenidae
enlarged malars,variable proportions,amphisbaenidae
the cloacal shields,lighter,amphisbaenidae
rostral,"barely visible, in dorsal view",amphisbaenidae
shields,major fusions,amphisbaenidae
occipitals,one or two pairs of rectangular,amphisbaenidae
first postsupralabial,twice as high as long,amphisbaenidae
mental,large,amphisbaenidae
enlarged median ones in the first postgenials,possibly fused or discrete,amphisbaenidae
ventral segments of the first six body annuli,reduced in size,amphisbaenidae
body annuli,217-262,amphisbaenidae
"at midbody, an annulus","contains 12 to 16 dorsal segments, 8 or 10 ventral ones",amphisbaenidae
tail,21 to 24 caudal annuli,amphisbaenidae
cap,conically oval,amphisbaenidae
autotomy site,at the 6th to ninth postcloacal position,amphisbaenidae
precloacal pores in males,"6 to 8, round",amphisbaenidae
snout,markedly pointed,amphisbaenidae
temporal region,wider than the trunk at the level of the third through eighth annuli,amphisbaenidae
trunk,variably compressed dorsoventrally to the base of the tail,amphisbaenidae
lateral sulci,start between the 10th and 20th body annulus,amphisbaenidae
"preocular supralabial, nasal, preocular, and prefrontal",fused,amphisbaenidae
ocular,"discrete, pentagonal, diagonally placed",amphisbaenidae
median azygous shield,small,amphisbaenidae
frontals,relatively small,amphisbaenidae
parietal,fused with frontal or with enormous temporal,amphisbaenidae
occipitals,two pairs of small distinct,amphisbaenidae
body annuli,220-237,amphisbaenidae
caudal annuli,22-26,amphisbaenidae
"midbody segments, dorsal",11-15,amphisbaenidae
"midbody segments, ventral",10-13,amphisbaenidae
median ventral segments,"enlarged, paired",amphisbaenidae
round precloacal pores,10-12,amphisbaenidae
autotomy site,at the 6th to 8th caudal annulus,amphisbaenidae
preserved specimen's color,uniform light brown dorsally and lighter on the ventral surface,amphisbaenidae
intersegmental sutures,lightened,amphisbaenidae
dorsal pigmentation,mottled,amphisbaenidae
dorsal surfaces,darker: posterior quarter of the trunk and the caudal region,amphisbaenidae
tail,conically oval cap,amphisbaenidae
postcloacal position,autotomy site at the sixth to eighth,amphisbaenidae
precloacal pores,10-12 variably produced round,amphisbaenidae
snout,markedly pointed,amphisbaenidae
species size,medium-sized,amphisbaenidae
fusion of head shields,major fusions,amphisbaenidae
1st and 2nd supralabials,fused,amphisbaenidae
large elongate postfrontals,pair,amphisbaenidae
postfrontals shape,"shape of an armorial shield, sometimes irregular",amphisbaenidae
medium-sized parietals,pair,amphisbaenidae
1st and 2nd supralabials,fused,amphisbaenidae
1st and 2nd infralabials,fused,amphisbaenidae
post-gennials,4+4 segments,amphisbaenidae
body annuli,225-243,amphisbaenidae
lateral annuli,2-4,amphisbaenidae
caudal annuli,20-22,amphisbaenidae
autotomy constriction,"after 5th, 6th or 7th caudal annulus",amphisbaenidae
precloacal pores in male,10,amphisbaenidae
precloacal pores in female,none,amphisbaenidae
precloacal segments,6-7,amphisbaenidae
postcloacal segments,5-1o,amphisbaenidae
segments in mid-body annulus,18-20,amphisbaenidae
dorsal segments in mid body annulus,10,amphisbaenidae
ventral segments in mid body annulus,8-10,amphisbaenidae
species color,"uniform brown dorsally, slightly lighter ventrally",amphisbaenidae
posterior half of first postgenial rows,enlarged,amphisbaenidae
posterior second postgenial rows,may contain 4-5 segments,amphisbaenidae
trunk,generally slightly wider than high,amphisbaenidae
"preocular supralabials, nasal and prefrontal",fused,amphisbaenidae
blind suture,entering the fused shield from the anterior corner of ocular,amphisbaenidae
oculars,"discrete, large and rectangular, diagonally placed",amphisbaenidae
median azygous shield,small,amphisbaenidae
frontalparietal-occipitals,fused into narrow median shields,amphisbaenidae
first postocular supralabial,contacts frontal shield,amphisbaenidae
temporal,enormous,amphisbaenidae
head,bulbous,amphisbaenidae
"supralabials, infralabials",2,amphisbaenidae
mental and first infralabials,enormous,amphisbaenidae
postgenials,only slightly enlarged,amphisbaenidae
malars,enlarged,amphisbaenidae
chin segments,most posterior subequal,amphisbaenidae
body annuli,224-240,amphisbaenidae
caudal annuli,23-25,amphisbaenidae
midbody segments,"10 dorsal, 8 ventral",amphisbaenidae
median ventral segments,"enlarged, paired",amphisbaenidae
precloacal pores,8-11,amphisbaenidae
autotomy site,lies at 10th to 13th caudal annulus,amphisbaenidae
species,"small, relatively slender",amphisbaenidae
dorsal color,uniformly pale brown,amphisbaenidae
ventral color,lighter,amphisbaenidae
dorsal pigmentation,greatest on the neck and dorsal surface of the tail,amphisbaenidae
ventral color,extends from the chin across the anterior 15 percent of the trunk and darker posteriorly,amphisbaenidae
head shields,"anterior, major fusions",amphisbaenidae
tail,bears 23 to 25 caudal annuli before an oval end,amphisbaenidae
body proportions,provided in figure,amphisbaenidae
anteriormost portion of the head,covered on each side by a large shield,amphisbaenidae
ocular,"semirectangular, much wider than long",amphisbaenidae
"triangular, azygous median shield","contacts the anterior fused shields along the midline, oculars laterally, and medial portions of the anterior edge of the fused frontal-parietal-occipital shields posteriorly",amphisbaenidae
tail,bears 23 to 25 caudal annuli before an oval end,amphisbaenidae
head,slightly dorsoventrally compressed,amphisbaenidae
trunk,generally rounded down to the midbody region where it becomes slightly flattened dorsoventrally,amphisbaenidae
caudal tip,vertically oval in cross section,amphisbaenidae
lateral sulci,"start at the level of the 14th body annulus, filled with small triangular segments and approximately as wide as a quarter of one of the flanking segments",amphisbaenidae
middorsal sulcus,"indicated only by an alignment of intersegmental sutures, almost as wide as the lateral ones, continues as a depressed groove onto the base of the tail until the autotomy annulus",amphisbaenidae
ventral sulcus,only indicated by an alignment of intersegmental sutures,amphisbaenidae
preocular supralabials,two,amphisbaenidae
nasal,discrete,amphisbaenidae
prefrontal,discrete,amphisbaenidae
preocular,discrete,amphisbaenidae
ocular,discrete,amphisbaenidae
median azygous shield,small,amphisbaenidae
snout,generally pointed,amphisbaenidae
supralabials,3,amphisbaenidae
infralabials,2,amphisbaenidae
first infralabials,much wider and slightly longer than mental,amphisbaenidae
rows of postgenials,2,amphisbaenidae
postgenials,4,amphisbaenidae
body annuli,197-207,amphisbaenidae
 caudal annuli,22,amphisbaenidae
dorsal segments,14-15,amphisbaenidae
ventral segments,12-14,amphisbaenidae
median ventral segments,"slightly enlarged, paired",amphisbaenidae
precloacal pores,"round, 6",amphisbaenidae
autotomy site,at the 6th to 7th caudal annulus,amphisbaenidae
dorsal coloration,light brown,amphisbaenidae
ventral coloration,lighter,amphisbaenidae
caudal region,darker,amphisbaenidae
caudal cap,darkest,amphisbaenidae
nasal shield,very large,amphisbaenidae
rectangular prefrontal,large,amphisbaenidae
azygous shield,small,amphisbaenidae
first dorsal half-annulus,small occipitals,amphisbaenidae
second preocular supralabials,larger,amphisbaenidae
ocular,rectangular,amphisbaenidae
third supralabial,enormous,amphisbaenidae
first postsupralabial,slightly enlarged,amphisbaenidae
second postsupralabial,smaller,amphisbaenidae
snout,slightly prognathous,amphisbaenidae
first infralabials,enormous,amphisbaenidae
second infralabials,small,amphisbaenidae
trapezoidal malars,enlarged,amphisbaenidae
tail shape,conically oval cap,amphisbaenidae
autotomy site,not especially pigmented,amphisbaenidae
postcloacal segments,7-10,amphisbaenidae
snout,more pointed in dorsal than in lateral view,amphisbaenidae
temporal region,wider,amphisbaenidae
trunk shape,rounded anteriorly and variably compressed dorsoventrally,amphisbaenidae
tail shape,vertical oval at the base,amphisbaenidae
lateral sulci,start near the 20th body annulus,amphisbaenidae
middorsal sulcus,"begins near the 60th annulus, narrower than the lateral ones",amphisbaenidae
"preocular supralabials, nasal, prefrontal, preocular, and ocular","fused, with shallow blind suture entering a shallowly delimited fused shield",amphisbaenidae
"frontal, parietal, and pentagonal occipital",discrete,amphisbaenidae
first postocular supralabial,"very large, in contact with frontal",amphisbaenidae
temporal,"single trapezoidal, followed by one smaller one lateral to the occipital",amphisbaenidae
head shape,pointed,amphisbaenidae
supralabials and infralabials,2,amphisbaenidae
mental,fused with first infralabials anteriorly,amphisbaenidae
postgenial,"large, flanked by one or two small segments",amphisbaenidae
malar,"large, rectangular",amphisbaenidae
body annuli,241-252,amphisbaenidae
caudal annuli,25-26,amphisbaenidae
midbody segments,"12 dorsal, 10 ventral",amphisbaenidae
median ventral segments,"enlarged, paired",amphisbaenidae
precloacal pores,12 or 0,amphisbaenidae
autotomy site,at 13th caudal annulus,amphisbaenidae
snout,"prognathous, twice as wide as high, swollen up to level of the eye",amphisbaenidae
mental,narrow,amphisbaenidae
ventral segments,slightly reduced in size in gular region,amphisbaenidae
annulus at midbody,"contains 12 dorsal segments, three times longer than wide, and 10 ventral ones, the medial ones more than 2½ times as wide as long",amphisbaenidae
cloacal region,corresponds to three lateral annuli,amphisbaenidae
tail,"bears 25 to 26 a caudal annuli before a conically pointed end, which is more than twice as long as the last annulus",amphisbaenidae
trunk,"rounded anteriorly, becomes slightly wider than high near the midbody",amphisbaenidae
preocular supralabials,fused with nasals,amphisbaenidae
"""prefrontals""","paired, broad contact with the rostral",amphisbaenidae
supralabials,2,amphisbaenidae
infralabials,2,amphisbaenidae
mental,wide and larger than flanking first infralabials,amphisbaenidae
malars and second infralabials,very slightly enlarged,amphisbaenidae
head,bulbous,amphisbaenidae
body annuli,278,amphisbaenidae
caudal annuli,23,amphisbaenidae
dorsal midbody segments,14,amphisbaenidae
ventral midbody segments,7 to 8,amphisbaenidae
segments of median ventral row,azygous and more than 4 times as wide as long,amphisbaenidae
precloacal pores,9,amphisbaenidae
autotomy site,at the 7th caudal annulus,amphisbaenidae
dorsal color,pale brown,amphisbaenidae
ventral color,lighter,amphisbaenidae
rostral,relatively sizable,amphisbaenidae
mental,very wide anteriorly and slightly narrower posteriorly,amphisbaenidae
size of specimen,"small, relatively slender",amphisbaenidae
body proportions,the trunk is generally slightly wider than high,amphisbaenidae
form,"short, slender, pointed-headed",amphisbaenidae
rostral,"large, in wide contact with the prefrontals, widely exposed in dorsal view",amphisbaenidae
preocular supralabials,two,amphisbaenidae
"nasal, preocular, prefrontal, and ocular",discrete,amphisbaenidae
median azygous shield,no adjective,amphisbaenidae
"frontals, parietals, and occipitals","very large, distinct",amphisbaenidae
postocular supralabial,very large,amphisbaenidae
snout,generally pointed,amphisbaenidae
supralabials,3,amphisbaenidae
infralabials,2,amphisbaenidae
first infralabials,"enormous, much wider and substantially longer than mental",amphisbaenidae
postgenials,"two rows (4,5)",amphisbaenidae
body annuli,218,amphisbaenidae
caudal annuli,14,amphisbaenidae
midbody segments,"16 dorsal, 12-13 ventral",amphisbaenidae
median ventral segments,"enlarged, paired",amphisbaenidae
precloacal pores,"6, round",amphisbaenidae
tail,"short, lacking autotomy, terminating in oblique, posteriorly facing shield fringed with a ring of projecting rounded cones",amphisbaenidae
calcified plate,no adjective,amphisbaenidae
dimensions,161 + 10.5 mm snout-vent plus tail length and 4.5 mm midbody diameter,amphisbaenidae
trunk color,unform dark bluish-brown dorsally and lighter on the ventral surface,amphisbaenidae
holotype size,relatively small,amphisbaenidae
dorsal color,darker,amphisbaenidae
ventral color,lighter,amphisbaenidae
collagen fibers of extracolumellar attachment,light,amphisbaenidae
parietals,large,amphisbaenidae
head,relatively pale,amphisbaenidae
nostrils,half as wide as at the level of the postsupralabials,amphisbaenidae
temporal region,slightly wider,amphisbaenidae
trunk,rounded anteriorly and variably compressed dorsoventrally thereafter,amphisbaenidae
annuli,"218 body, 14 caudal",amphisbaenidae
tail,bears 14 caudal annuli,amphisbaenidae
posterior aspect of the 14th annulus,sharp flat termination,amphisbaenidae
precloacal pores,six large round,amphisbaenidae
dalophia,"medium-sized, slender",amphisbaenidae
pigmentation,lacks,amphisbaenidae
body annuli,302-324,amphisbaenidae
caudal annuli,20-27,amphisbaenidae
dorsal segments/midbody annulus,16-24,amphisbaenidae
ventral segments/midbody annulus,12-18,amphisbaenidae
first plus second postgenials,"four or five, eight to 11",amphisbaenidae
head shields,broadly fused,amphisbaenidae
nasals,long wings laterally to touch the oculars,amphisbaenidae
pectoral shields,six elongate,amphisbaenidae
caudal autotomy constriction,sixth or seventh caudal annulus,amphisbaenidae
eye,clearly visible,amphisbaenidae
ocular,medium-sized rectangular,amphisbaenidae
parietals,four,amphisbaenidae
nasal,elongate,amphisbaenidae
second postgenials,six to 11 smaller,amphisbaenidae
pectoral shields,six elongate and subparallel,amphisbaenidae
body annuli,302 to 324,amphisbaenidae
tail,"stout, fairly long, slightly compressed laterally, downward-curved",amphisbaenidae
caudal annuli,20-27,amphisbaenidae
autotomy constriction,at the sixth or seventh caudal annulus,amphisbaenidae
tail,projecting and unsegmented callous pad slightly longer than a preceding annulus,amphisbaenidae
lateral sulci,"strongly marked, about two-thirds as wide as an adjacent segment",amphisbaenidae
snout-vent length,290 to 362 mm,amphisbaenidae
snout-vent length,131 to 362 mm,amphisbaenidae
azygous head shield,"single, pointed anteriorly, oval and relatively slender",amphisbaenidae
sutures,"short, blind",amphisbaenidae
dorsal surface of the head,slightly concave,amphisbaenidae
lower jaw,covered by a broadly rectangular mental,amphisbaenidae
eye,clearly visible,amphisbaenidae
body,to the tenth to twelfth (generally to the eleventh) body annulus,amphisbaenidae
size,medium-sized,amphisbaenidae
snout-vent length,365 to 420 mm,amphisbaenidae
pigmentation,lacking,amphisbaenidae
body,312 to 344,amphisbaenidae
lateral,three to four,amphisbaenidae
caudal annuli,35 to 43,amphisbaenidae
dorsal segments,14 to 21,amphisbaenidae
ventral segments,11 to 14,amphisbaenidae
first postgenials,two to five,amphisbaenidae
second postgenials,four to nine,amphisbaenidae
azygous head shields,broadly fused,amphisbaenidae
lateral blind sutures,occur,amphisbaenidae
keratinized zone,does not reach the parietal edge,amphisbaenidae
nasals,"usually in medial contact, generally fail to reach the lip",amphisbaenidae
parietal shields,four,amphisbaenidae
pectoral region,elongate,amphisbaenidae
slender shields,six,amphisbaenidae
midventral segments of the precloacal annulus,are enlarged,amphisbaenidae
lateral sulci,clearly expressed,amphisbaenidae
middorsal sulcus,aligned intersegmental sutures or a zigzag pattern,amphisbaenidae
caudal autotomy site,sixth to eighth,amphisbaenidae
middorsal segments of the tail,may be partially or completely fused,amphisbaenidae
interannular sutures,form an anteriorly acute set,amphisbaenidae
chevron,as wide as three or four more anterior segments,amphisbaenidae
specimens,unpigmented,amphisbaenidae
shape of azygous head shields,oval,amphisbaenidae
eye,clearly visible,amphisbaenidae
ocular,squarish,amphisbaenidae
nostrils,crescent-shaped,amphisbaenidae
tail,appears dorsoventrally flattened in cross section and curves ventrally,amphisbaenidae
sutures between dorsal segments,angled to form a pattern of posteriorly directed chevrons,amphisbaenidae
lateral annuli,three to four,amphisbaenidae
precloacal segments,six,amphisbaenidae
dorsal surface of the tail,middorsal segments are nearly twice as wide as long,amphisbaenidae
caudal annuli,35 to 43,amphisbaenidae
lateral sulci,distinct,amphisbaenidae
dorsal sulcus,may be indicated by an alignment of the vertebral sutures or a zigzag pattern,amphisbaenidae
plaques sur le dessous the tête,"1-2, grandes",amphisbaenidae
round nose outline,no specific descriptor,amphisbaenidae
rostrale,"very small, 6 times as wide as high",amphisbaenidae
nasales,tres allongées,amphisbaenidae
occulaire,very small,amphisbaenidae
symphysiale,larger than adjacent labials,amphisbaenidae
mentonnieres,large heptagonal,amphisbaenidae
labiales inferieures,3rd one is enormous,amphisbaenidae
tail,"same diameter as body, squarely truncated at the end",amphisbaenidae
body annuli,311-314,amphisbaenidae
queue,25-26,amphisbaenidae
middle of the trunk,37-38 segments (19-20 dorsals and 18 ventrals),amphisbaenidae
two ventral medians,slightly wider than long,amphisbaenidae
pectoral plates,"6, very elongated",amphisbaenidae
preanal segments,6,amphisbaenidae
snout-vent length,582-705 mm,amphisbaenidae
body annuli,316-321,amphisbaenidae
caudal annuli,21-23,amphisbaenidae
dorsal segments,19-21,amphisbaenidae
ventral segments,17-19,amphisbaenidae
head shields,"discrete, and azygous",amphisbaenidae
precloacal shield,medial pair the largest,amphisbaenidae
tail,slight ventral curve near its distal tip,amphisbaenidae
caudal annuli,21-23,amphisbaenidae
lateral sulci,"well marked, approximately as wide as an adjacent segment",amphisbaenidae
dorsal sulcus,clearly marked,amphisbaenidae
snout-vent length,360-520 mm,amphisbaenidae
dorsal surface color,darkened by gray speckling,amphisbaenidae
body annuli,307-338,amphisbaenidae
lateral annuli,2-5,amphisbaenidae
caudal annuli,33-42,amphisbaenidae
dorsal segments,18-24,amphisbaenidae
ventral segments,12-16,amphisbaenidae
first postgenials,3-6,amphisbaenidae
second postgenials,8-13,amphisbaenidae
azygous head shields,broadly fused,amphisbaenidae
nasals,"usually in median contact, usually just fail to reach the lip",amphisbaenidae
parietal shields,4,amphisbaenidae
pectoral region shields,6,amphisbaenidae
dorsum color,lightly speckled with gray,amphisbaenidae
midventral segments of the prepectoral annulus,"enlarged, diamond-shaped",amphisbaenidae
pectoral region,extends to the ninth through the twelfth body annulus,amphisbaenidae
tail shape,subcylindrical or slightly flattened above and below,amphisbaenidae
middorsal segments of the tail,partially or completely fused across the midline,amphisbaenidae
lateral and middorsal sulci,distinct,amphisbaenidae
dorsal half-annuli,few,amphisbaenidae
plaque,grande,amphisbaenidae
museau,obtusément pointu,amphisbaenidae
rostrale,"très petite, un peu plus de 2 fois aussi large que haute",amphisbaenidae
nasales,très allongées,amphisbaenidae
oculaire,très petite,amphisbaenidae
labiales supérieures,3,amphisbaenidae
symphysiale,plus grande que les labiales adjacentes,amphisbaenidae
mentonnière pentagonale,grande,amphisbaenidae
labiales inférieures,"3, troisième énorme",amphisbaenidae
queue,"de même diamètre que le corps, plus ou moins tronquée à l'extrémité",amphisbaenidae
grande plaque arrondie,at the tail end,amphisbaenidae
anneaux sur le tronc,310,amphisbaenidae
queue,19 anneaux,amphisbaenidae
anneau au milieu du corps,"contains 29 segments, 16 dorsal, 13 ventral",amphisbaenidae
deux segments ventraux médians,environ 2 fois aussi larges que longs,amphisbaenidae
plaques pectorales,"6, très allongées",amphisbaenidae
segments préanaux,6,amphisbaenidae
color,uniformément d'un blanc rosâtre,amphisbaenidae
size,medium to large,amphisbaenidae
snout-vent length,320-560 mm,amphisbaenidae
dorsal surface,gray speckling,amphisbaenidae
body annuli,280-352,amphisbaenidae
lateral annuli,2-5,amphisbaenidae
caudal annuli,19-33,amphisbaenidae
dorsal segments,17-30,amphisbaenidae
ventral segments,12-17,amphisbaenidae
first postgenials,2-6,amphisbaenidae
second postgenials,7-14,amphisbaenidae
azygous head shields,broadly fused,amphisbaenidae
nasals,usually in median contact,amphisbaenidae
parietal shields,four,amphisbaenidae
pectoral region shields,six,amphisbaenidae
midventral segments of the precloacal annulus,enlarged,amphisbaenidae
middorsal sulci,clearly expressed,amphisbaenidae
middorsal segments of the tail,partially or completely fused across the midline,amphisbaenidae
interannular sutures angles with the median,anteriorly acute,amphisbaenidae
length range,130-560 mm,amphisbaenidae
pigmentation on the dorsum,light gray speckling,amphisbaenidae
the lower jaw,"formed by a squarish mental, the first, second, and enormous third infralabials and a large shield-shaped postmental (genial)",amphisbaenidae
postocular,elongate triangular,amphisbaenidae
nostrils,crescent-shaped,amphisbaenidae
three supralabials,the second the longest,amphisbaenidae
postmental,distal wedge,amphisbaenidae
first row postgenials,two to six,amphisbaenidae
elongate shields,six,amphisbaenidae
midventral segments,enlarged,amphisbaenidae
lateral annuli,two to five,amphisbaenidae
precloacal segments,four to six,amphisbaenidae
middorsal segments on the tail,partially or completely fused to form posteriorly directed chevrons,amphisbaenidae
caudal annuli,19-33,amphisbaenidae
lateral and middorsal sulci,distinct,amphisbaenidae
nasal shields,almost always separated by rostral segment,amphisbaenidae
cephalic shield,single,amphisbaenidae
pectoral region,modified,amphisbaenidae
tip of the tail,"squarely truncate, produced into a flattened callous pad",amphisbaenidae
snout-vent length,268 to 293 mm,amphisbaenidae
body,lacks pigmentation,amphisbaenidae
body,264 to 270 annuli,amphisbaenidae
caudal annuli,19,amphisbaenidae
dorsal segments,17 to 20,amphisbaenidae
ventral segments,14 to 17,amphisbaenidae
first postgenials,four,amphisbaenidae
second postgenials,eight or nine,amphisbaenidae
head shields,broadly fused,amphisbaenidae
nasals,not in contact medially,amphisbaenidae
pectoral shields,"six, two lateral pairs are irregularly divided",amphisbaenidae
autotomy constriction,the fifth or sixth caudal annulus,amphisbaenidae
second postgenials,eight or nine,amphisbaenidae
pectoral region,extends to the eighth through the tenth body annulus,amphisbaenidae
body annuli,264 to 270,amphisbaenidae
middorsal segments,approximately two to two and one-half times as long as wide,amphisbaenidae
midventral segments,one and one-half times as wide as long,amphisbaenidae
tail,slightly compressed laterally and down-curved,amphisbaenidae
tail,"terminates in a projecting and unsegmented, vertically oval callous pad",amphisbaenidae
caudal annulus,19,amphisbaenidae
autotomy constriction,the fifth or sixth caudal annulus,amphisbaenidae
lateral sulci,"deep and distinct, as wide as an adjacent segment",amphisbaenidae
dorsal surface of the trunk,"crisscrossed by an unusual density of deep, diagonal folding lines",amphisbaenidae
rostral,"large, its posterior angle inserted between the prefrontals",amphisbaenidae
nasal,distinct,amphisbaenidae
prefrontals,a pair,amphisbaenidae
frontal,moderate,amphisbaenidae
postfrontals,pair,amphisbaenidae
occipitals,pair of rudimentary,amphisbaenidae
"ocular, eye","moderate, distinct or hidden",amphisbaenidae
labials,"3 upper, second and third larger, subequal",amphisbaenidae
temporals,2-4,amphisbaenidae
mental,"moderate, subquadrangular",amphisbaenidae
lower labials,2 (very rarely 3) large,amphisbaenidae
postmental,moderate,amphisbaenidae
chin shields: anterior row,4-5,amphisbaenidae
chin shields: posterior row,4-6,amphisbaenidae
annuli on body,209-222,amphisbaenidae
annuli on tail,21-26,amphisbaenidae
segments in midbody annulus,38-42,amphisbaenidae
median ventral segments,nearly equilateral,amphisbaenidae
pectoral segments,"feebly differentiated, slightly longer than broad, forming an anteriorly-directed angular series",amphisbaenidae
anals,6,amphisbaenidae
preanal pores,4,amphisbaenidae
color above,uniformly violet brown (flesh-pink in life),amphisbaenidae
intersegmental grooves,white,amphisbaenidae
subcaudal segments,mottled with brown,amphisbaenidae
total length,281 (248 + 33) mm.,amphisbaenidae
head,compressed,amphisbaenidae
snout,laterally compressed but rounded,amphisbaenidae
nostril,lateral or slightly inferior,amphisbaenidae
nasal,small,amphisbaenidae
gular fold,no adjective,amphisbaenidae
pectoral segments,slightly enlarged forming an angular series,amphisbaenidae
tail,"cylindrical, obtuse",amphisbaenidae
rostral,large,amphisbaenidae
nasal,distinct,amphisbaenidae
prefrontals,a pair,amphisbaenidae
frontal,"moderate, distinct",amphisbaenidae
oceipitals,rudimentary,amphisbaenidae
ocular,moderate,amphisbaenidae
upper labials,"3, first small, second and third larger, subequal",amphisbaenidae
temporals,3-4,amphisbaenidae
mental,"moderate, subquadrangular",amphisbaenidae
lower labials,"3, first small, second and third subequal",amphisbaenidae
postmental,moderate,amphisbaenidae
chin shields,"4 in anterior row, 7 in posterior row",amphisbaenidae
annuli on body,238-241,amphisbaenidae
annuli on tail,29,amphisbaenidae
midbody annulus segments,34-38,amphisbaenidae
ventral segments,nearly equilateral,amphisbaenidae
pectoral segments,"feebly differentiated, slightly longer than broad",amphisbaenidae
anals,6,amphisbaenidae
preanal pores,3-4,amphisbaenidae
premaxillary teeth,3,amphisbaenidae
maxillaries,3-3,amphisbaenidae
mandibulars,7-7,amphisbaenidae
above color,uniformly violet brown,amphisbaenidae
intersegmental grooves color,white,amphisbaenidae
below color,pure white,amphisbaenidae
total length,274 mm,amphisbaenidae
first supralabial,"single, very small",amphisbaenidae
second supralabial,large,amphisbaenidae
third supralabial,small,amphisbaenidae
azygous shield,"separated from contact with the rostronasal, not significantly larger than the azygous",amphisbaenidae
suture between prefrontals,wide,amphisbaenidae
frontals,about as wide as long,amphisbaenidae
temporals,much smaller,amphisbaenidae
infraocular,generally present,amphisbaenidae
first infralabial,very large,amphisbaenidae
pectoral segments,"slightly enlarged, rounded, sometimes with irregular longitudinal fusions",amphisbaenidae
precloacal pores,lacking,amphisbaenidae
postpectoral annuli,5 to 25 higher than ventral number,amphisbaenidae
body vertebrae,95 to 100,amphisbaenidae
ventral postpectoral half-annuli,236 to 275,amphisbaenidae
dorsal postpectoral half-annuli,259 to 304,amphisbaenidae
ventral segments per midbody annulus,25.6 to 33,amphisbaenidae
dorsal segments per midbody annulus,22.3 to 31.4,amphisbaenidae
caudal annuli,10 to 13,amphisbaenidae
size,snout-vent length equals 285-600,amphisbaenidae
precloacal pores,absent,amphisbaenidae
supraocular shields,present,amphisbaenidae
azygous shield,distinct from the frontal shields,amphisbaenidae
supralabials,3/3,amphisbaenidae
body,relatively large and robust,amphisbaenidae
head,dorsoventrally compressed,amphisbaenidae
nostrils,opening on the ventral surface of snout,amphisbaenidae
suture,connecting each nostril to the edge of mouth,amphisbaenidae
rostronasal shield,followed by one to five enlarged shields along the dorsal surface of head,amphisbaenidae
dermal annuli per vertebrae,more than two,amphisbaenidae
tail,very short with rounded tip,amphisbaenidae
preocloacal pores,none to four,amphisbaenidae
rows of enlarged shields atop the head,three or more,amphisbaenidae
first supralabial,"very large, followed by a smaller second supralabial",amphisbaenidae
pectoral shields,medial pair of elongate pectoral shields,amphisbaenidae
postpectoral annuli,"177-242, more dorsal than ventral postpectoral annuli",amphisbaenidae
azygous shield,distinct of the frontal,amphisbaenidae
supralabials,2/2,amphisbaenidae
infralabials,2/2,amphisbaenidae
parietals,distinct,amphisbaenidae
prefrontals,representing less than 30% of the head length,amphisbaenidae
azygous,representing less than 59% of head width,amphisbaenidae
species of leposternon,"enlarged, polygonal",amphisbaenidae
supralabial shield,large,amphisbaenidae
infralabial shield,large,amphisbaenidae
mental shield,large,amphisbaenidae
postpectoral halfannuli,353-382,amphisbaenidae
shape,slender,amphisbaenidae
size,"medium-sized, 388mm maximum adult total length",amphisbaenidae
"ventral-postpectoral half-annuli, dorsal postpectoral half-annuli","353-382 ventral, 357-397 dorsal",amphisbaenidae
dorsal half-annuli scales,24-33,amphisbaenidae
ventral half-annuli scales,23-29,amphisbaenidae
caudal annuli,12-15,amphisbaenidae
tail,"short, cylindrical, round ending",amphisbaenidae
precloacal vertebrae,121-142,amphisbaenidae
precloacal pores and autotomy,absent,amphisbaenidae
background coloration of living specimens,"pale, grizzled",amphisbaenidae
dorsal pigments,"sparse, diminute, irregularly distributed, brownish",amphisbaenidae
background coloration of alcohol preserved specimens,"more pale, brown, whitish, beige",amphisbaenidae
sample from municipality of camaçari,marked brownish blotches or dorsal pigment dots,amphisbaenidae
head,"rather short, broad",amphisbaenidae
vertebral plate,"hexagonal, elongate, as long as broad",amphisbaenidae
frontal plate,very short and broad,amphisbaenidae
parietal shields,oblique,amphisbaenidae
occipital,much longer than broad,amphisbaenidae
temporal shields,larger on the side of the occipital,amphisbaenidae
plates of the sternal disk,"symmetrical, in oblique diverging lines",amphisbaenidae
postpectoral counts,very high,amphisbaenidae
frontals of head segment,"narrowing, elongation",amphisbaenidae
small azygous,very small,amphisbaenidae
prefrontals,reduction in size,amphisbaenidae
first supralabials,small pair,amphisbaenidae
first infralabials,pair of small,amphisbaenidae
rostronasal,almost always keratinized,amphisbaenidae
