species,1st and 4th vertebrals,1st and 5th vertebrals,1st vertebral,2d to 4th vertebrals,2d vertebral shape,2nd neural bone,4th vertebral covering,4th-6th neural bones,5th vertebral,6th vertebral,adult carapace color,adult size,adult vertebrals,aged adult carapace and plastron color,anal notch,anal notch shape,anal notch width,anal scute notching,anal scutes,anterior and lateral marginal shape,anterior border of the 4th,anterior lobe length,anterior marginals,anterior part of head,axillary and inguinal buttresses,axillary and inguinal scutes,axillary and inguinal scutes presence,axillary and marginal scutes,axillary attachment,axillary buttress,axillary buttress attachment,axillary buttresses,axillary buttresses attachment,axillary length,axillary scute presence,axillary scutes,batagur kachuga,black bridge,black ovoid shape,bony buttresses presence,border color,bridge,bridge and plastron color,bridge color,bridge dark bar,bridge length,bridge scutes,bridge width,bridges,brown bridge,brownish-red blotch,buttress strength,buttresses,carapace,carapace arching,carapace border,carapace color,carapace color comparison,carapace dorsal surface,carapace features,carapace ground color,carapace height,carapace keel,carapace keels,carapace lateral marginals,carapace length,carapace marginal scutes,carapace pattern,carapace posterior,carapace posterior marginals,carapace posterior serration,carapace rim and keels color,carapace scutes,carapace serration,carapace shape,carapace shape (juveniles),carapace size,carapace texture,carapace widest point,carapace width,carapacial color,carapacial ground color,carapacial scute surface,carapacial scutes,carotid canal,central blotch,cervical scute,cervical scute shape,cervical scute size,chin,chin and throat color,chin color,choanae,choanæ,claw length,cloacal bursae,color,colouration and pattern of shell,comparison with diagnostic characters,costal scutes,costals,crown color,dark color,dark-brown to olive stripe,differential diagnosis,dorsal markings,dorsal shape,dorsal surface color,dorsolateral keel development,ear,elliptical carapace,entoplastron,entoplastron location,epipterygoid extension,ethmoid fissure,ethmoid fissure shape,ethmoidalis fissure,exoccipital,exposed limb surfaces,eye,eyelid pigment,facial markings,facial stripes,female carapacial pattern,female characteristics,female m. macrocephala,female plastron,femoral mid-seam length,fifth vertebral,first four vertebrals,fore lobe,forearm scales,foreclaw size,forefoot scale size,forefoot webbing,foreleg scalation,foreleg scales,forelimb scale shape,forelimb webbing,forelobe,forelobe size,four distinct ocelli,frontal bone,frontal bones,growth annuli,hatchling,hatchling central figure,hatchling diagnostic similarity,hatchling head and neck color,hatchling head and neck stripes,hatchling ocellate pattern,hatchling plastron color,hatchling shell color,hatchling throat color,hatchling throat pattern,head,head and neck color,head and neck stripes,head color,head crown color,head crown color comparison,head features,head markings,head shape,head size,head skin,head stripe color,head stripe presence,head surface,heel color,hexagonal neurals,hind leg shape,hind limb shape,hind lobe,hind lobe closure,hind lobe length,hind lobe shape,hind lobe size,hind lobe width,hind marginals,hindfoot heel scale size,hindfoot webbing,humero-pectoral seam,humero-pectoral seam angle,inferior parietal process,infraorbital stripe,infraorbital stripe extension,infraorbital stripe length,infraorbital stripe shape,infraorbital stripes,ingual scute size,inguinal buttress,inguinal buttress attachment,inguinal buttresses,inguinal extension,inguinal length,inguinal scute length,inguinal scute presence,inguinal scute size,inguinal scutes,inguinals,interanal seam,intergular seam,iris color,jaw and chin color,jaw color,jaw serration,juvenile coloration,juvenile dorsal keel development,juvenile dorsal keels,juvenile keels,juvenile scute pattern,keel,keel color,keel development,keel height,keel location,keel presence,keel shape,keels,knob color,lateral edges of the jaws,lateral keel,lateral keel length,lateral keels,lateral marginals,lateral plastral margins,lateral stripes,light seams,limb and tail color,limb color,limb scales,limb sockets and undersides of the limbs,limb webbing,limbs,limbs and soft parts,limbs and tail,loreal stripe,lower 2/3 to 3/4 of the pleurals,lower edge of the upper jaw,lower marginal scutes,lower triturating surface,m. m. kami,male carapacial pattern,male characteristics,male femoral scutes,male m. macrocephala,male plastron,male plastron shape,male tail,male tail length,marginal border,marginal color,marginal scutes,marginal shape,marginal stripe,marginals,margins,maximum size,medial carapacial keel,medial keel,medial keel length,medial keel shape,medial stripe,medial vertebral keel development,median keel,mottled spots,mouth color,mouth-to-neck stripe,nasal stripes,neck,neck color,"neck, limbs, and tail","neck, limbs, and tail color",neural bone shape,neural bones,neural bones length,neural bones shape,neural elongation,neural length,neurals,nostrils,notch above tail,nuchal,number of keels,number of longitudinal keels,orbit,orbital border,orbital stripe,orbito-nasal foramen,orbito-nasal foramen location,orbito-nasal foramen shape,palate and tongue color,palate color,pale streak,pangshura sylhetensis,parietal blotches,plastral buttresses,plastral color,plastral formula,plastral hinge,plastral hinges,plastral pattern,plastron,plastron and bridge color,plastron anterior lobe,plastron anterior lobe shape,plastron attachment,plastron bridge presence,plastron bridges,plastron color,plastron development,plastron formula,plastron hinge,plastron lacking,plastron length,plastron notch,plastron notching,plastron pattern,plastron posterior lobe,plastron posterior lobe shape,plastron presence,plastron shape,plastron size,plastron suturation,plastron width,"plastron, bridge, and undersides of the marginals color","plastron, bridges, and undersides of the marginals color",pleural 4 size,pleurals,"pointed, projecting corner (marginal scutes)",posterior anal notch,posterior border,posterior border of the anals,posterior carapace,posterior carapacial marginals,posterior dorsal head skin,posterior head skin,posterior lobe length,posterior lobe shape,posterior margin,posterior margin of the carapace,posterior marginal rim,posterior marginal serration,posterior marginals,posterior medial keels,posterior neural bones,posterior notch,posterior part of carapace,posterior part of head and temporal region,posterior plastral notch,posterior projections,posterior rim,posterior rim serration,posteriormost marginals,postlagenar hiatus,postlagenar hiatus shape,postorbital,ray pattern,recognition,round spot,scl,scute blotch,scute markings,scutes,seam between anal scutes,seam between vertebrals 3 and 4,seam length,sexual dichromatism,sexual dimorphism,shell elongation,shell shape,skin color,skull,skull features,skull postorbital bone,skull squamosal bone presence,skull temporal arch,snout,snout length,snout shape,snout spot,soft parts,spikelike posterior projection,spine at the posterior margin of each pleural scute,spinelike posterior projection,spinelike projection (juveniles),squamosal,squamosal bones position,squamosals,stripes,stripes or light spots,subocular stripe,subspecies,subspecies separation,supracaudal marginals,supracaudal plates,supraocular stripe,supraorbital stripe,tail,tail color,tail features,tail length,temporal arch,temporal blotches,temporal region color,temporal stripe,throat color,throat pattern,toes,toes webbing,tongue color,toothlike projection presence,triturating surface,triturating surface of upper jaw,triturating surfaces,triturating surfaces of the jaws,tympanic ring,underside of the head and neck,undersides of the marginals,upper jaw,upper jaw color,upper jaw medial notch,upper jaw notch,upper jaw profile,upper jaw shape,upper surfaces of the marginals,vent location,vertebral 1,vertebral 1 shape,"vertebral 1, 2, and 5","vertebral 1, 2, and 5 size","vertebral 1, 3, and 4",vertebral 1-3,vertebral 2,vertebral 2 and 5,vertebral 2 shape,vertebral 2 size,vertebral 2-4,vertebral 2-4 shape,vertebral 3,vertebral 3 and 4,vertebral 3 and 4 size,vertebral 3 shape,vertebral 3-5 shape,vertebral 4,vertebral 4 shape,vertebral 4 size,vertebral 5,vertebral 5 shape,vertebral and pleural scute color,vertebral keel,vertebral projection,vertebral scute,vertebral scute shape,vertebral scute size,vertebral scutes,vertebral shape,vertebral shields,vertebral size,vertebrals,vertebrals 1 and 5,vertebrals 2-4,vertebrals 2-5,vertebrals shape,webbing,yellow band,yellow bridge,yellow line,yellow or orange bands,yellow orange stripes,yellow plastron,yellow seam lines,yellow stripes,yellow to cream-colored stripe,yellowish orange stripes,yellowish pigment,yellowish seam,yellowish stripe,young,young adult carapace and plastron color,young individual markings
Morenia petersi,,,longer than broad,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,,,,"greenish, cream, or yellow",broader than hind lobe is long,,,,,,,,,,,,to 20 cm,,,"olive, dark brown, or black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"larger, higher domed, relatively shorter tails, vent under the carapace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"olive, several yellow stripes",,,,,not enlarged,,,,,dorsal and lateral surfaces covered with an enlarged scale,,,,,"narrow, posterior notch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low bulbous projections,,,,,,,,,,,,,,,,,,yellow margin,,,,,,,,,,,,,,"slightly concave plastra, longer tails, vents beyond the carapacial rim",,,,,,,,,,,pale vertical,,,,,,,,pale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd>pect>hum>fem>an>gul,,,,,,,,,,,uniformly yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unserrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pointed, protruding",,,,,,,,,,,,,,,,,,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,,,,,,,,,,,,,"light-colored horseshoe-shaped mark, pale ocellus"
Mauremys annamensis,,,,,,,,,,,,,,,,,,,,slightly upturned,,,,,,,present,,,,,,,,,,,,,present,,,,,,40-50% that of the plastron,,,,,,,,,,,uniformly dark-gray to black,,,,,,,,,to 17 cm,,,,,,,,,"low arched, or depressed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"low and almost nonexistent in older individuals, strongly developed in juveniles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well developed and prominent in adults,,,,,,,,,,hexagonal and short sided anteriorly,,,,,,,,,,,3,,,,,,,,,,,,,,abd < pect > fem > an > hum >< gul,,,,,,,truncate,,,,,"well developed, but does not completely cover the shell opening",,,,,,,,,contains a deep anal notch,,,,sutured is to the carapace,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,often nearly equal in length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wider anteriorly than posteriorly,,,,,,,,,,about as broad as long,,,,,,,,,,opposite of vertebral 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siebenrockiella crassicollis,,,,,,,,,,,,,,,,,,,,,,,,,,moderate to large,,,,,midway along the 1st costal,,,,,,,,,,,,uniformly black or dark brown to yellowish brown with dark blotches or an extensive dark seam-following pattern,,,,,about equal to the length of the plastral hind lobe,,,,,,,,,,,,,,,,,,to 20 cm,,,,,,,,,"oval, depressed, tricarinate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader posteriorly than anteriorly,wider anteriorly and rather narrow posteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large and rather broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,about a third of the way along the suture between the 5th and 6th costals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,less pronounced in larger individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distinct,,,,,,,,,,,,,,,"not elongated, shortest anteriorly",,,,,,,,,,,,,,,,,,,,,,,,abd > pec > fem > an > gul > hum,,,,"well developed, hingeless, extensively sutured to the carapace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strongly serrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"quadratojugal touches both the jugal and postorbital, posterior palatine foramen slightly larger than the small orbito-nasal foramen",,,,,"short, slightly projecting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dorsally flattened,,,,,,,,,,,,,,,,,,,,,
Mauremys leprosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tan to olive with large, black-bordered, yellow to orange blotches on each scute",,,,,,slightly keeled medially,,,to 18 cm,,,,,,,,,"low, oval",,,,,,,,,,,"large, dark",,,broader than long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olive to grayish tan,,,,,,not greatly enlarged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"present on pleural scutes of hatchlings, becoming lower with age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"smooth, unserrated",,,,,,,,,,,,"usually present, but fades with age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,"abd> fem > pect > gul > an > hum in males; in females, the pectoral and femoral scutes are reversed",,,,,,,,,,notched and somewhat pointed posteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,between the tympanum and orbit; may touch the tympanic ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,,,,,,,"well developed, with two dark blotches which may join medially",extends from the neck to the corner of the mouth and continues along the border of the upper jaw to its tip,,,,,"begin on the neck, pass dorsal to the tympanum, and extend to the orbit",,,,,,,,
Mauremys japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,about as wide as the length of the posterior plastral lobe,,,,"brown, posteriorly serrated",,,,,,,,,,,,18.2 cm,,,,,,,,,,,,,,,,,,"bear growth annuli, well-marked, elevated radiations",,,,,,,,,,,,,"olive to brown, yellow along vertebral keel, yellow and dark mottlings along seam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rather small,,,,,,,,,,"light brown, with dark spots on the jaws, chin, and sides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slightly upturned,,,,,,,,,,,"dark brown, with some light yellow on the outer border of the limbs and dorsal surface of the tail",,,,,,,,,bent downward,,slightly concave,,"thicker at the base, vent beyond the carapacial margin",,,,,,,,,,,"single, low",,,,,,,,,,"brown, with a series of stripes on raised scales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > fem >< pect > an > gul> hum,,,,"flat, slightly upturned anteriorly, wide posterior notch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slightly projecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"narrow, lacks a ridge",,,,,,,neither hooked nor notched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broadest of all,,,,,,,,,,,,,,,,,,,,,
Batagur dhongoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,occurs on each scute in juveniles,,,,,,olive brown,,,,,,,,,48 cm,,,,,,,,,elliptical,,,,behind the middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,,,,,,,,,,,,,,,,,,transverse,,,,,,,,,,,,,,,,larger than axillary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"indistinct, dark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,dark-brown or black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > fem > pect > hum > an >< gul,,,,,yellow,shorter than broad bridge,,,,,,,,,,,,,,shorter than broad bridge,,,"long, narrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,"projecting, pointed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,broader than long,,,,,longer than broad,,,broader than long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuora flavomarginata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smooth,"dark brown with a bright-yellow vertebral stripe, a reddish-brown blotch on each pleural and vertebral, and a yellow or reddish-brown blotch along the outer border of each marginal",,,,,,,,,to 17 cm,,,,,,,,,domed,,,,,,,,,,,,,,,,,pink or yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,,,,well-marked,,,,,,,,,,,,,,gray to light greenish dorsally with a broad a yellow stripe running backward from the orbit to the neck,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"disrupted, low",,,,,,,,grayish brown on the outside with yellow sockets,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd> an > pect > gul > hum > fem,,,,,,,,,,,"dark-brown to black with a narrow yellow band along the outer border of the humerals, pectorals, abdominals, and femorals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wide, not notched posteriorly, and capable of entirely closing over the hind limbs and tail",,,,,,,,,,,,,,,,,,,,,,,,,,often reduced or absent in older individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prominent,,,narrower than its adjacent pleural scute,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heosemys grandis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,longer than the plastral hind lobe,,,,,,,,,,,,,,,,,,,,43.5 cm,,,,,,,,,"broad, oval, high arched but depressed dorsally, serrated posteriorly",,,,,,,,,,,,,,,,,,,,,,brown to grayish brown or black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broad,,,,,,,,,,,,,prominent in younger individuals,,,,,,,,,,,,,,grayish green to brown,,,,,"broad, snout only slightly projecting",,divided into irregularly shaped scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,cream to horn colored,,,,,,dark lines radiating outward from a large dark central blotch,,,,,,,,,,,,,,,,,may appear between the scutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"well-defined, blunt",,,,,,"numerous yellow, orange, or pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,may occur along the keel,,,,,abd > fem > pect > an >< hum >< gul,,,,,,,,,,,,,,,,,,,,,,,notched posteriorly,large,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webbed,,,,,,,,,,,contains a shallow medial a notch flanked by pair of toothlike cusps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,,,,,,,,,,,,,,,,
Batagur trivittata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58 cm,,,,,,,,,elliptical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniformly brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,broken into scales,,,,,,,,,,,,,,,,,joins the plastral midseam at an obtuse angle,,,,,,,,,,,,,,,,larger than the axillary,,,,,,,,slightly serrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown to olive with three distinct black stripes,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > fem > < pect > an > gul,,,,,yellow to orange,,,,,,,,,,,long and narrow,,,,,,,anterior and posterior lobes shorter than the broad bridge,,,,,,,,,present,,,,,,,,,,,"smooth in adults, somewhat serrated in juveniles",,,,,,,,,present,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,slightly projecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medially notched,,,,,,,,as broad as or slightly broader than long,,,,,,,,,,,,longer than broad,,,distinctly broader than long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoemyda spengleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,totally dark brown or black,,"about as long as the posterior plastral lobe, and may contain axillary and inguinal scutes",,,,,,weak and barely extend beyond the peripheral bones,,,,,,,,,,,,,,to 13 cm,,,,,,,,,"elongated, slightly wider behind the middle, rather flat topped, and very strongly serrated",,,,,,"yellowish brown or grayish brown to dark brown; usually some dark pigment extends along the keels, especially the medial",,roughened due to growth annuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,not enlarged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"three well-developed keels; the medial keel is best developed, but the two lateral keels are also prominent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"each marginal has an acute, single-pointed corner, with the points of marginals 1-3 and 8-12 flared outward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extremely variable: abd >< pect >< fem > hum > an > gul,,,,,,,,,,,dark brown or black with a yellow lateral border,,,,"lacking a hinge, and the scutes are rugose with growth annuli",,,,,,,,"elongated, and deeply notched posteriorly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,does not project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broader than long, and the underlying neural are hexagonal with the shortest side posterior",,,,,,,,,,,,,,,,,,,,,
Pangshura sylhetensis,,,,,,,,,,,,,,,,,,,,,elongated into a point,,,,,,,,,,,,,,,large,,,,,,,,,,,,,,,,,,,,,"olive brown, paler along the vertebral keel",,,,,,,,,20 cm,,,,,,,,,"oval, arched, strongly serrated posteriorly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown with a transverse yellow stripe on the back of the head and a yellow stripe along the lower jaw,,,,,,moderate,weakly subdivided into scales,,,,,,,,,,,,,,,,,joins the plastral midseam at an obtuse angle,,,,,,,,,,,,,,,,,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,"present on vertebrals 3-5, with a backward-pointing projection on the 3d",,,,,,,,,,,brown with pale yellow to cream stripes,,,,,,,,,,,,,,,,,,,,,,,,species,,,,abd >< fem > pect> hum > an > gul,,,,,"yellow, with large dark brown or black spot on each scute, to totally brown",,,,,,,,,,,,posteriorly,,,,,,"elongated, oval",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,projecting,,,,,,,,,,,,,,,subdivided to form an extra pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hooked,,,,,broader than long,,,,,,,,,,,much longer than broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlitia borneensis,,,,,"""mushroom"" shaped with the stalk pointing backward",,,,,,,,,,present,,,,,,,,,,,,,,,,,,attached to the 1st ribs,,,,,,,,,,,,,much longer than the posterior plastral lobe,axillary and inguinal scutes,,,,,,strongly developed,,,,"uniformly dark gray, brown, or black",,,,,relatively high peaked in the young at the area of the seam separating the 2d and 3d vertebrals,,,,to 80 cm,,,,,,,,,"narrow, oval",,,,,,,,,somewhat rugose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,may be keeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"elongated, hexagonal, and short sided anteriorly",,,,,,,,,,,,,,,,,,,,,,,,abd > pect > fem > gul> hum >< an,,,,,,,,,,,,,,,,long and narrow,,,,,,,,,sutured to the carapace,,,,considerably smaller than the first three,,,,,,,,,,,,,,,,"strongly serrated in juveniles, but less so in adults, and are smaller than the lateral or anterior marginals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low medial keel,,,,,,narrow when compared to the adjacent pleural scutes,,,,,,,,,,,,,,,,,,,,,,,,
Melanochelys tricarinata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellowish to orange,,,,,,,,,,,,,"reddish brown (described as plum colored by smith, 1931) to black",,,,,,,,,to 16.3 cm,,,,,,,,,"elongated, rather high domed",,,,,,,,,,,,,,,,,,,,"long, except for outermost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"large, square or pointed",half-webbed,,,,,,,,,,,,,,,,,,,,,,,,reddish brown to black,,,,,,,,"red, sometimes yellow or orange",present,,,,,,,,longer than the bridge,,,,,enlarged,"barely, if at all, webbed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow to brown,,,,,low,,,,,,,,,,,,reddish brown to black,,,,,,,,,,,,,,,,,,slightly concave,,longer and thicker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,three,,,,,,,,,,,,,,,abd > pect > an > gul> fem >< hum,,,,,,,,,,,yellowish to orange,,,,,long,,,,,,,notched posteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reddish brown to black,,,,,,,,,,,,,,,,,,,,,,,,,,,beyond the carapace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vijayachelys silvatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very small,,,,,,,,,,fairly long,,,,,,,,,,,uniformly bronze or orangish brown to black,,,,,,,,,to 13 cm,,,,,,,,,"oval, moderately domed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown to black,,,,,,,,,,,,,red or pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very small; may be absent,,,,reddish,,,,,,,,,,,,,,,,three low keels,,,,,extend along the upper parts of the first three pleurals,,,,,,pale brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extends along all five vertebrals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd>< pect > hum >< fem > an > gul,,,,,,,,,,,uniformly yellow to orange with a black blotch on both the pectoral and abdominal scutes at the bridge,,,,,,,,,,,,,,,relatively wide,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,slightly serrated,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,longer in males,,,,,,,,,,,,,,,,,,strong medial hook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,,,,,,,,,,,,,,,,
